funded_amnt,int_rate,installment,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,is_bad
3000,5.79%,90.99,7.79,0,1,9,0,780,4.1,19,0
6000,7.51%,186.66,22.28,0,2,13,0,14217,20.2,25,0
9000,7.14%,278.48,8.31,0,3,10,0,55142,45.8,24,0
16675,11.71%,368.49,8.68,0,0,10,0,18885,66.3,43,0
15000,13.92%,512.06,14.5,0,3,12,0,17717,67.4,26,0
5500,12.73%,184.62,13.35,1,1,5,0,15974,48.9,16,0
12000,5.79%,363.93,12.58,0,1,11,0,5723,8.4,38,0
12000,11.71%,396.92,14.19,0,0,6,0,12915,85,12,0
7800,10.00%,165.73,7.7,0,0,16,0,0,0,24,0
16000,22.35%,445.1,21.16,4,1,25,0,43109,72.3,49,1
1925,12.18%,64.11,8.36,0,2,14,0,277,46.2,15,0
10000,5.42%,301.6,6.98,0,0,15,0,78330,28.6,31,0
6000,7.90%,187.75,12.66,0,0,6,0,8282,62.3,11,1
5375,12.69%,121.45,18.08,0,0,2,0,9279,36.5,3,1
22800,12.21%,759.58,15.49,1,1,9,0,19226,70.9,32,0
5000,9.67%,160.57,15.22,0,0,11,0,60631,70.3,28,0
8000,12.42%,267.33,15,0,0,10,0,18601,88.2,11,0
2500,18.78%,91.37,2.79,1,2,4,1,2601,40.6,7,0
17800,10.25%,576.45,17.15,0,4,10,0,23065,51.1,31,0
14400,11.14%,472.4,14.75,0,0,19,0,18421,67,28,0
11200,10.99%,243.46,17.63,0,0,15,0,1155,11.3,24,0
10000,13.80%,340.81,0.28,0,3,3,1,45,0.6,16,0
8000,9.99%,258.1,18.95,0,0,4,0,4556,53.6,7,0
5750,8.00%,180.19,2.59,0,1,11,0,5231,2.4,20,0
13000,8.90%,412.8,14.59,0,1,13,0,11338,18.6,30,0
4000,19.03%,146.69,20.59,1,2,30,0,6654,22.6,56,0
6000,8.90%,190.52,13.81,0,0,14,0,6953,67.5,24,1
14075,12.68%,317.95,20.94,0,3,8,0,3943,33.4,20,0
5500,12.61%,184.29,2.6,0,0,4,0,3935,46.3,5,0
3300,8.49%,104.16,24.08,1,2,11,0,3349,21.2,20,0
12500,11.49%,412.15,1.36,1,0,12,0,2193,10.5,21,0
8000,14.91%,189.95,7.15,0,0,8,0,4913,63.4,12,1
8000,15.58%,192.77,12.56,0,2,7,0,4280,28.2,8,0
13000,5.42%,392.08,13.53,0,3,12,0,73764,22.5,39,0
2400,13.62%,81.59,15.53,0,1,6,0,1233,35.2,7,0
8000,18.39%,204.85,21.9,3,1,6,0,6965,89.3,20,0
6000,10.00%,193.61,21.75,1,0,13,0,16156,74.5,30,0
3200,11.49%,105.51,19.66,0,2,11,0,3058,28.8,12,0
24000,11.49%,527.71,19.94,0,0,9,0,22253,44,27,0
12000,16.69%,296.24,1.42,4,5,5,0,427,23.7,43,0
1200,15.21%,41.73,3.25,0,0,5,0,1680,56,7,0
7000,12.23%,233.27,21.36,0,0,4,0,1333,83.3,19,0
5000,7.29%,155.05,2.33,1,1,8,0,2937,10.8,17,0
14500,14.65%,500.17,5.24,0,1,17,0,15077,46.7,28,0
10000,16.45%,353.78,16.97,0,0,5,0,3052,41.8,22,1
5000,14.11%,171.15,6.84,0,0,11,0,18115,98.5,35,0
9600,15.95%,337.28,17.28,0,7,11,1,3102,48.5,29,0
15000,15.95%,364.38,6.17,0,0,3,0,4789,47.9,3,1
8000,7.51%,248.89,1.77,0,2,7,0,1744,16,9,0
16750,12.53%,560.57,17.38,1,1,6,0,0,0,20,0
6000,7.29%,119.63,7.76,0,0,13,0,4039,14.8,38,0
25000,13.61%,576.67,20.69,0,0,15,0,116150,54.6,34,0
15600,14.65%,368.27,22.33,0,1,15,0,9877,56.8,22,0
25000,10.74%,815.4,12.4,0,0,9,0,23039,26.6,36,0
8000,12.21%,266.52,6.03,0,5,9,1,11754,41,21,0
6500,12.68%,218.02,20.39,2,0,9,0,35294,95.9,49,1
15000,11.49%,494.57,9.69,0,0,10,0,7796,32.2,27,1
30000,8.90%,952.6,6.71,0,0,11,0,8937,20.8,17,0
12000,11.71%,396.92,24.18,0,0,8,0,21507,68.5,8,0
16400,10.99%,536.84,0.98,0,5,8,0,1939,6.2,9,0
20000,13.22%,676.02,9.68,0,3,7,1,1284,6.3,22,0
6000,8.90%,190.52,21.83,0,0,5,0,7135,46.6,6,0
6200,6.03%,188.71,0.65,0,0,7,0,1252,4.5,12,0
4750,7.14%,146.98,8.46,0,0,5,0,13923,77.3,12,0
8000,12.18%,266.4,17.27,0,3,9,1,7976,47.2,15,1
1750,15.70%,61.27,24.89,0,1,3,0,192,48,5,1
1800,15.57%,43.37,16.47,0,4,9,0,8747,74.8,16,0
15000,10.38%,486.69,9.64,0,1,20,0,22400,19.9,62,0
13675,6.91%,270.21,5.39,0,0,6,0,20964,35.6,29,0
14550,11.71%,481.26,15.6,0,0,4,0,17588,93.1,13,0
25000,12.53%,836.66,1.39,0,1,9,0,30215,49.6,17,1
10000,10.65%,325.74,19.14,0,3,10,0,10160,59.1,24,0
16750,11.49%,552.27,23.42,0,4,6,0,22558,76.5,11,0
14000,15.28%,335.13,14.59,0,8,10,0,31830,41.3,28,0
12000,7.29%,372.12,5.08,0,0,5,0,12653,48.9,14,0
20000,16.89%,495.87,15.23,0,1,11,0,25822,71.1,27,0
15000,15.99%,527.29,9.13,0,0,10,1,9331,79.1,24,0
20000,22.06%,553.07,16.76,0,1,26,0,26676,33.1,53,0
35000,10.65%,1140.07,14.35,0,1,17,0,38121,59.6,35,0
30000,13.49%,690.15,5.74,0,3,6,0,28648,61,26,0
9100,6.03%,276.97,13.15,0,0,13,0,13901,29.8,33,0
12000,13.49%,407.17,19.09,0,1,12,0,16865,70,32,0
21750,19.29%,567.69,20.62,0,3,11,1,14658,68.2,27,0
16000,14.22%,548.55,13.73,0,0,5,0,20791,94.5,10,0
8000,10.62%,260.48,17.92,0,0,4,0,28824,39.2,7,0
5000,10.99%,163.68,4.81,1,0,5,0,20042,50.9,34,0
2800,9.62%,89.85,13.53,0,0,7,0,7686,78.4,10,0
11975,16.29%,422.73,6.38,0,1,6,0,11927,75.5,19,0
6000,15.23%,143.47,21.22,0,1,8,0,14667,69.2,15,0
8000,7.88%,250.25,7.55,0,5,8,0,62681,25.9,25,0
8000,16.77%,284.31,3.01,0,1,5,0,6526,94.6,8,1
9600,10.00%,309.77,21.73,1,6,15,0,111611,17.4,24,0
7500,10.38%,243.35,16.57,0,1,7,0,5437,22.4,41,0
16800,15.95%,408.1,21.17,0,0,16,0,12318,78,61,0
4800,6.92%,148.04,15.75,0,0,8,0,10572,53.9,18,0
11200,11.71%,370.46,10.24,1,0,3,0,1094,31.3,16,0
10000,11.11%,327.91,13.81,0,1,11,0,5205,13.4,39,0
15000,9.88%,483.16,3.74,0,1,10,0,12147,67.5,18,0
5000,10.71%,163.01,20.28,0,0,13,0,6024,45.3,24,0
21000,13.16%,709.18,15.02,0,2,12,1,18071,65.5,24,0
5000,10.99%,163.67,26.84,0,0,4,0,17596,96.2,8,0
10500,13.06%,239.23,6.22,0,2,11,0,72,0.6,12,0
8000,12.23%,266.6,23.08,0,5,7,0,9433,76.3,13,0
21000,18.25%,536.13,13.31,0,1,16,0,13931,75.8,24,1
6000,9.63%,192.57,1.76,0,1,6,0,1292,4.3,8,0
25000,16.07%,879.85,19.62,0,0,9,0,61165,91.3,28,0
5000,11.49%,164.86,6.62,0,1,4,0,7187,92.1,21,0
2100,14.83%,49.78,14.11,1,3,7,0,3641,79.2,19,1
11200,13.98%,382.69,24.94,0,1,8,0,10290,85,12,1
6000,15.96%,210.83,24.85,0,1,13,1,6347,81.6,30,1
4000,10.00%,129.07,20.32,0,0,12,0,6790,52.6,29,0
29000,15.65%,1014.55,18.56,0,2,8,0,33844,85.9,27,0
5000,15.99%,121.57,21.17,0,2,25,0,9669,16.6,37,0
15850,18.64%,408.03,23.44,0,2,9,0,5049,48.5,12,0
20000,18.39%,512.13,7.78,0,2,7,0,12340,71.3,46,0
22500,11.83%,745.52,10.89,0,0,13,0,60376,47.9,27,0
2100,12.21%,69.97,19.68,0,0,3,0,603,6.2,4,0
24000,14.96%,831.52,11.38,0,7,13,0,1207359,56,33,0
12000,16.69%,296.24,23.96,0,3,8,0,8437,63,14,0
14000,7.51%,435.56,3.05,0,0,21,0,16621,20.6,50,0
7150,6.99%,220.74,11.02,0,0,12,0,6577,51,20,0
15500,13.49%,356.58,11.19,0,2,6,0,17554,57,8,0
2500,11.14%,82.01,7.58,0,0,6,0,7090,73.1,10,0
24000,18.43%,872.88,7.09,0,1,9,0,58222,39,38,1
12000,10.99%,392.83,4.47,0,0,4,0,13855,42.5,21,0
16000,6.03%,486.97,5.15,0,0,6,0,802,0.9,9,0
17725,11.71%,391.7,28.25,0,0,18,0,25136,36.2,41,0
18050,10.00%,582.43,7.73,0,0,6,0,18352,61.2,19,0
15000,16.69%,532.48,18.56,0,4,11,0,117200,91.2,16,0
10000,16.82%,355.64,9.52,0,5,4,0,1293,39.2,17,0
8000,11.48%,263.75,2.9,0,1,7,0,2980,31.7,10,0
3000,10.65%,97.72,20.11,0,0,4,0,2797,93.2,8,0
5000,5.42%,150.8,23.67,0,0,10,0,624,3.5,33,0
1000,11.89%,33.17,5.57,1,0,5,0,5742,55.2,18,0
14400,7.88%,450.44,1.91,0,2,14,0,3351,0.4,47,0
4200,5.99%,127.76,2.66,0,1,9,0,6367,37.3,14,0
25000,23.91%,717.9,9.55,0,1,29,0,29680,45.8,41,0
9000,7.49%,279.92,23.8,1,1,17,0,5739,26.7,28,0
13875,18.36%,504.13,23.04,0,3,13,0,24280,93.4,38,0
12000,14.91%,284.92,13.43,0,3,8,1,5049,78.9,17,0
3000,9.63%,96.29,0.68,0,0,8,0,893,38.8,11,0
10400,10.99%,226.07,13.51,0,0,7,0,1741,18.7,15,0
12000,19.04%,311.56,24.57,0,5,15,0,26561,91.5,39,0
3325,6.54%,101.97,6.05,0,0,5,0,11006,65.1,36,0
15000,14.83%,518.74,14.9,0,6,14,0,10976,68.6,22,0
15000,8.94%,476.58,7.78,0,1,10,0,13316,33.3,34,0
10400,5.42%,313.67,16.8,0,0,9,0,18550,46.4,24,0
27525,10.74%,897.75,15.42,0,0,15,0,52856,74.7,39,0
10000,12.99%,336.9,24.16,0,1,10,0,17312,60.3,15,0
1000,13.35%,22.94,10.8,0,0,9,0,7496,85.2,13,0
9600,11.99%,318.82,12.82,0,0,10,1,10862,71.6,22,0
3000,10.71%,97.81,16.83,1,2,11,0,8911,53.4,19,0
25000,10.62%,814,19.36,0,1,13,0,10461,64.6,55,0
15000,9.63%,481.41,17.82,0,0,14,0,58504,30.9,34,0
5000,13.72%,170.21,12.21,1,1,12,0,6347,70,16,1
8000,12.18%,266.4,19.32,0,0,7,0,2707,31.5,13,0
5000,5.79%,151.64,16.29,0,0,5,0,50638,8.5,8,0
12000,10.62%,390.72,12.93,0,1,12,0,58179,84.2,46,0
3200,7.51%,99.56,14.65,0,0,8,0,7062,50.1,22,0
8000,14.96%,277.16,11.7,0,3,10,0,18131,81.1,25,0
6000,7.49%,186.61,10.08,0,0,5,0,6940,31.7,7,0
9600,11.71%,317.53,18.18,0,0,9,0,9066,63.8,18,0
13850,12.87%,465.82,21.14,0,2,13,0,42470,82.6,17,0
22500,17.27%,562.46,18.8,0,2,8,0,18364,75.6,16,0
3600,9.99%,116.15,3.81,2,0,5,0,1919,9.7,17,0
30000,15.62%,1049.1,16.07,0,1,19,0,35178,50.3,34,0
4325,7.49%,134.52,5.47,0,0,9,1,5074,35.2,34,0
16250,11.12%,532.93,20.77,0,0,7,0,27750,40.3,18,0
20000,16.82%,711.27,15.38,0,0,16,0,15847,45.5,43,1
10000,7.29%,310.1,0.72,0,1,7,0,370,2.1,8,0
7000,14.96%,242.52,12.66,0,1,14,0,3294,70.1,30,1
3000,15.62%,104.91,20.24,0,0,10,0,10026,77.7,23,0
9325,16.46%,329.97,26.86,0,0,10,0,18579,82.9,20,0
6000,7.14%,185.65,9.61,0,2,7,0,2834,4.8,27,0
5000,11.12%,109.02,14.58,0,2,17,0,7497,12.1,30,0
12500,14.96%,433.08,14.88,0,0,8,0,1268,31.7,19,0
5000,16.45%,122.79,19.93,0,5,9,0,4187,63.4,13,0
4650,6.62%,142.78,9.54,0,0,7,0,8619,57.1,15,0
1800,10.20%,58.26,11.09,0,2,7,0,3628,26.1,13,0
2000,11.14%,65.61,13.49,0,0,9,0,11817,15.7,42,0
9700,12.61%,218.78,8.04,0,0,3,0,11,0.4,20,1
12000,13.35%,406.36,15.76,0,0,7,0,6775,97.7,7,0
13450,18.39%,344.41,14.36,1,0,4,0,8828,58.9,22,0
5000,15.21%,119.51,10.38,0,1,11,1,5045,71.1,16,1
14000,18.64%,510.64,16.42,0,3,26,0,24199,46.8,63,0
13750,14.22%,471.41,18.88,1,1,24,0,9301,14.9,37,0
4000,10.99%,130.94,15.43,0,1,7,1,6286,48.7,20,0
2000,8.70%,63.32,6.07,0,1,13,0,5967,19.8,17,0
4800,12.23%,107.34,21.65,1,1,14,0,3565,79.2,30,0
2750,16.95%,97.98,0,0,0,6,0,0,NA,6,0
6000,10.99%,130.43,7.68,0,0,16,0,12007,39.5,30,0
8400,12.18%,279.72,24.69,0,1,12,0,17411,64,21,0
9600,14.65%,331.15,8.24,0,1,13,0,6725,70.4,28,0
25000,11.11%,819.78,22.5,0,0,8,0,30862,58.5,25,0
8000,14.65%,275.96,3.94,0,1,6,0,10569,67.3,10,0
22750,18.62%,585.41,10.73,1,0,11,0,870,4.1,34,1
8800,11.36%,289.61,22.62,0,1,13,0,10521,45.3,27,0
14400,12.99%,485.13,10.46,0,2,10,0,35245,57.3,16,0
19600,13.98%,669.7,1.04,3,0,6,0,301,13.1,22,0
10000,6.92%,308.41,22.61,0,0,6,0,10533,49,8,0
9000,6.03%,273.92,9.86,0,1,11,0,10526,19.7,27,0
1600,9.32%,51.12,19.21,0,3,6,1,714,10.1,15,0
8000,16.07%,281.56,20.56,0,7,12,0,21166,72.7,37,0
5000,13.17%,168.88,14.6,0,1,10,0,7708,48.5,15,0
16000,14.74%,552.59,3.63,0,7,5,0,15306,51.2,35,0
8000,12.53%,267.74,12.06,0,0,7,0,37784,70.1,13,0
5000,11.14%,164.02,5.88,0,3,7,1,5305,16.8,16,0
6000,8.94%,190.63,18.23,0,3,10,0,4836,62,29,0
14100,8.00%,441.84,10.82,0,1,11,0,10513,32,20,0
8000,11.49%,175.91,14.98,0,0,10,0,3089,23.8,26,0
15725,11.36%,517.51,10.33,0,1,14,0,8533,18,52,0
4200,7.51%,130.66,15.57,0,2,6,0,1801,62.1,12,0
6450,5.99%,196.2,5.75,0,0,6,0,0,0,30,0
5000,6.03%,152.18,7.81,0,0,6,0,271,1.1,16,0
8800,14.91%,208.94,19.11,1,0,22,0,79747,28.1,35,0
8000,12.53%,267.73,21.85,0,1,19,0,12806,38.6,22,1
18000,12.18%,599.4,8.23,0,1,7,0,15533,79.3,14,0
3000,11.49%,98.92,22.26,0,1,12,0,1742,29.5,21,0
18000,16.77%,445.13,22.81,0,0,10,0,22617,91.2,23,1
25000,14.96%,866.16,16.28,0,0,15,0,73257,60,32,0
8000,14.27%,274.48,13.77,0,2,13,1,5816,56.5,40,0
3875,19.03%,100.59,14.86,0,3,6,1,2411,86.1,11,0
5600,19.36%,146.38,17.87,0,1,15,0,5103,64.6,25,0
10625,11.14%,348.56,6.33,1,0,11,0,13657,29.9,25,0
14000,14.59%,482.51,12.13,0,0,7,1,5879,70.8,32,0
4000,7.68%,124.77,13.45,0,0,7,0,3199,7.4,23,0
3200,15.70%,112.04,6.25,1,0,4,0,1730,41.2,4,0
20000,6.54%,613.35,9.56,0,3,8,0,18158,55.2,28,0
2500,16.77%,88.85,3.8,0,1,3,0,3467,47.5,8,1
5300,8.90%,168.3,15.2,0,0,8,0,16843,56.9,14,0
13650,16.29%,481.86,17.25,1,3,13,0,11969,36.3,25,1
12000,10.59%,390.54,6.36,0,1,2,0,1069,42.8,3,0
8500,5.79%,257.78,9.87,0,3,16,0,5163,4,35,0
10800,12.84%,363.08,22.45,0,0,8,1,15260,77.9,16,0
16800,17.99%,426.52,18.26,0,1,17,0,6060,35.9,37,0
12000,13.49%,407.17,14.29,0,0,6,0,22290,78.8,20,0
14000,13.49%,322.07,11.74,0,0,14,0,19639,74.7,33,0
5300,5.42%,159.85,28.33,0,0,7,0,5275,42.2,11,0
20000,13.49%,460.1,19.22,0,0,16,0,5896,57.8,39,0
8500,11.14%,278.83,24.63,0,0,12,0,9193,28.5,15,0
3500,13.92%,119.48,0.6,0,6,7,0,3312,10.4,12,0
7000,7.51%,217.78,10.77,0,0,10,0,0,0,38,0
15000,21.28%,408.17,7.53,0,0,2,0,0,0,14,0
3500,15.21%,121.69,9.58,0,0,15,0,3962,32.2,18,0
4800,9.99%,154.86,12.02,0,0,7,0,5871,77.9,17,0
8000,14.17%,186.86,12.14,0,3,5,0,4869,74.2,28,0
5600,10.75%,121.07,15.98,0,0,11,0,20948,65.3,28,0
10000,14.27%,343.09,4.93,0,0,3,0,7166,82.4,4,0
6000,7.49%,186.61,2.16,0,0,4,0,11817,55.5,8,0
20000,13.79%,681.51,5.4,0,1,10,0,11356,78.7,28,0
11000,10.36%,356.81,7.5,0,0,4,1,9222,78.8,18,0
2800,13.49%,95.01,15.7,0,0,11,0,13213,97.1,18,0
25000,13.49%,575.12,0.21,1,0,10,0,48,0.4,28,0
12000,20.25%,319.6,1.66,0,0,6,0,5216,68.6,9,0
9000,7.51%,279.99,16.29,0,0,7,0,4688,16.4,20,0
4500,7.88%,140.77,11.42,0,0,15,0,4419,39.5,20,0
30000,16.49%,1061.99,14.64,0,0,9,0,37691,90.4,20,0
6250,12.53%,209.17,21.75,0,2,11,0,1219,7.2,22,0
2500,14.96%,86.62,11.21,0,5,13,0,11196,31.9,19,0
25000,11.36%,822.78,17.5,0,0,7,0,15103,78.3,12,0
7500,12.84%,252.14,21.36,0,0,10,0,10638,61.8,26,0
17500,11.49%,384.79,12.75,0,0,9,0,16231,55.1,36,1
7500,13.24%,253.58,5.78,2,0,23,0,23611,32.7,42,0
19000,11.36%,625.32,8.95,0,4,5,0,18995,62.9,12,0
4000,16.45%,98.24,19.28,0,1,16,0,38836,91.6,40,0
4200,5.42%,126.68,7.26,0,0,11,0,13017,39.4,21,0
2500,11.49%,82.43,13.01,0,1,7,0,11864,71,9,0
16000,12.99%,363.97,9.26,0,0,5,0,27265,64.5,10,1
15000,10.65%,323.53,7.3,0,0,6,0,2886,11.6,11,0
23100,12.99%,525.48,9.06,0,1,8,0,21747,58,21,0
15000,12.99%,505.34,17.1,0,1,13,0,13365,50.2,21,0
25000,15.96%,878.44,8.21,0,1,11,0,21296,75.3,33,0
12000,17.58%,431.31,8.62,0,3,12,0,21233,57.1,16,0
10000,7.88%,312.82,20.47,0,3,5,0,59,1.3,14,1
3000,11.99%,99.63,1.88,1,1,4,0,843,27.2,8,0
7000,11.12%,152.62,7.99,0,3,6,2,6028,38.9,12,0
6000,9.25%,191.5,12.34,0,1,5,0,7256,74.8,24,0
2000,16.45%,49.12,10.12,3,1,4,0,756,84,16,0
11000,16.77%,272.02,4.62,0,3,7,0,11243,83.9,14,0
1200,8.90%,38.11,9.15,0,2,9,1,892,23.5,15,0
15000,15.31%,522.23,12.33,0,0,5,0,5365,78.9,5,0
11200,5.79%,339.67,14.31,0,1,10,0,9467,32.7,33,0
11000,11.49%,241.87,6.07,0,4,10,0,12333,11.2,41,0
7125,5.79%,216.08,13.61,0,2,9,0,7415,13.8,17,0
12000,12.21%,399.78,8.75,1,1,14,0,5199,12.5,29,0
3000,10.25%,97.16,14.36,0,0,5,0,1852,84.2,13,0
15000,11.99%,498.15,4.39,0,0,11,0,26090,23,22,0
5600,15.65%,195.93,6.94,0,0,5,0,9044,93.2,12,0
14000,8.49%,441.89,12.82,0,0,5,0,5272,60.6,14,1
13000,12.69%,436.09,10.64,0,1,6,0,19098,78,20,0
6000,11.99%,133.44,24.76,0,0,4,0,1266,30.9,7,0
3600,17.27%,90,14.34,0,0,4,1,2398,74.9,6,1
1750,11.83%,57.99,22.44,0,1,11,0,7757,93,24,0
25000,19.13%,918.02,18.54,1,1,9,0,46031,77.4,38,1
4800,13.79%,163.57,2.45,0,0,4,0,8757,67.9,14,0
4800,7.49%,149.29,15.63,0,0,18,0,24455,58.9,52,0
4800,13.06%,161.87,17.27,1,0,4,1,1029,85.7,22,0
4800,16.82%,118.83,21.65,0,4,10,0,24391,72.4,66,0
4600,12.23%,153.3,12.58,1,0,8,0,7034,67,15,0
6000,11.86%,133.05,22.99,0,1,11,1,8215,57.1,28,0
9000,6.62%,276.34,11.8,0,0,10,0,7219,66.2,23,0
9500,19.42%,248.64,16.95,0,1,4,1,8548,54.4,15,0
6500,5.79%,197.13,12.48,0,0,14,0,887,5.7,24,0
24250,16.70%,860.91,17.14,0,1,10,0,46226,97.9,31,0
4800,11.89%,159.19,15.32,0,0,7,0,52275,33.7,28,0
7750,12.53%,259.37,11.01,0,7,10,0,1786,4.3,40,0
8000,10.37%,259.53,14.26,1,2,18,1,5868,19.7,33,0
4500,5.79%,136.48,7.58,0,1,7,0,3775,13,17,0
5000,5.42%,150.8,16.03,0,3,12,0,8394,17.4,50,0
9600,10.08%,310.13,19.72,0,0,8,0,19500,30.9,14,0
6000,6.99%,185.24,7.05,0,0,10,0,7062,21.3,27,0
10000,7.29%,310.1,1.09,0,0,6,1,2316,36.8,15,0
5000,6.99%,154.37,23.25,0,2,7,0,3008,47.7,22,0
7500,10.99%,245.51,12.67,0,0,4,0,10804,85.1,9,0
5000,13.57%,169.85,14.75,1,0,6,0,0,0,19,0
12600,7.90%,254.88,11.89,0,0,12,0,4600,8.8,31,0
26000,12.69%,587.47,21.92,0,0,15,0,27828,59.7,24,0
30000,13.49%,690.15,10.34,0,1,9,0,20617,38.4,18,1
8000,15.31%,278.53,17.37,0,4,9,0,23600,78.9,17,0
20000,6.54%,613.35,8.19,0,2,11,0,7022,13.3,33,0
8000,10.38%,171.48,19.21,0,0,16,0,11365,22.3,27,0
6600,10.99%,216.05,19.38,0,0,13,0,14306,85.7,22,0
3600,17.49%,129.23,4.08,0,0,11,0,480,96,17,0
24000,14.17%,560.56,11.34,2,2,8,0,16561,31.8,22,0
10000,16.82%,247.56,10.79,0,4,15,1,10989,69.1,38,0
13200,11.71%,436.61,9.55,0,0,10,0,10086,77.6,23,1
15700,14.65%,370.63,24.93,0,1,9,0,20546,62.6,29,0
12000,14.96%,415.76,19.06,0,0,13,0,11117,86.2,24,0
18875,18.61%,688.17,16.47,1,4,11,0,64744,72,33,0
12000,7.90%,375.49,5.36,0,0,6,0,7583,64.8,14,0
2000,12.53%,66.94,9.04,0,0,6,0,10186,50.7,7,1
25000,11.36%,822.78,14.78,0,1,5,0,22112,63.2,26,0
11500,15.45%,401.2,7.9,0,7,9,0,1509,30.8,9,0
2200,19.42%,57.58,11.9,0,1,8,1,2014,83.9,11,1
21000,16.89%,520.67,23.53,0,0,6,0,4124,67.6,31,0
7000,6.99%,216.11,14.32,0,1,6,0,0,0,28,0
3500,8.94%,111.21,1.71,0,1,5,0,2697,69.2,11,0
7000,12.73%,234.97,23.36,0,2,8,0,15731,38.7,20,0
4500,9.25%,143.63,6.53,0,0,7,0,4351,37.5,29,0
9200,6.03%,280.01,25.29,0,1,7,0,604,6.2,22,0
17500,16.89%,433.89,12.03,0,0,8,0,12701,96.2,39,0
6500,14.26%,222.99,15.17,0,0,3,0,1855,23.2,3,0
2200,11.48%,72.54,14.55,0,0,16,0,1959,9.8,21,0
6000,7.51%,186.67,7.4,0,3,4,0,38475,14.5,20,0
10000,7.49%,311.02,24.46,0,1,11,0,2744,8.9,34,0
4500,6.91%,138.77,7.84,0,0,16,0,35144,58.4,32,0
9000,16.49%,318.6,12.41,1,1,13,0,8590,27.4,16,0
13825,13.23%,316.2,21.34,0,0,8,0,11296,63.5,18,0
5000,9.62%,160.45,24.05,0,0,6,1,2606,29.4,19,0
7500,8.63%,237.21,7.44,0,2,6,0,15611,21,9,0
21800,12.42%,489.57,26.33,0,0,13,0,35683,59.3,25,0
6250,10.62%,203.5,13.49,0,0,9,0,8802,37.6,11,0
8525,11.49%,281.08,14.79,0,1,9,0,35475,76.6,29,0
12000,12.68%,271.08,9.55,0,0,9,0,17259,84.2,15,0
24000,12.87%,807.2,10,0,1,9,0,9715,24.6,17,0
10000,11.71%,330.76,12.48,0,2,11,0,4189,48.1,25,0
13775,6.54%,422.45,10.16,0,1,6,0,24884,80.5,10,0
12000,7.90%,375.49,9.16,0,0,6,0,7069,52.4,11,0
